EVENT TYPE,PLACE,EVENT,COMMENTS,FATALITIES,INJURED / INFECTED,EVACUATED,ESTIMATED TOTAL COST,EVENT END DATE,UTILITY - PEOPLE AFFECTED,MAGNITUDE,YEAR,LONGITUDE,LATITUDE
Flood,Saskatchewan,1976-03-01,"Saskatchewan, March - April 15, 1976. During the spring season, there was large amount of rainfall in many areas of Saskatchewan. Flood damage to hospitals, churches, private property, small businesses and farmland occurred. Roads also required raising. Areas affected were the following: Souris River, Moose Jaw River, Qu'Appelle River, and Qu'Appelle Lakes.",0,0,0,1947804,4/15/1976 12:00:00 AM,0,0,1976,-106.1412,55.5321
Flood,Quebec,1976-03-01,"Quebec, March 1, 1976. Province-wide flooding caused by an unusually wet spring combined with heavy runoff from spring snowmelt affected several areas of the province; most notably the Lower St. Lawrence/Gasp?sie, Saguenay/Lake St. John, Quebec, Montreal, Trois-Rivi?res, Eastern Townships, Abitibi/Temiscamingue and Outaouais areas. In total, approximately 104 communities located along and in the vicinity of the Souris and Assiniboine River were flooded. Public, private and municipal land was damaged.",0,0,0,20500000,7/15/1976 12:00:00 AM,0,0,1976,-71.8259,52.4761
Flood,Saint John River Basin NB,1976-03-31,"Saint John River Basin NB, March 31 ? April 5, 1976. Town of Woodstock, Villages of Hartland, Ste Anne de Madawaska, Perth-Andover and Green River, New Brunswick; some river systems in the northeast of New Brunswick were also affected; cyclonic storms and high snowmelt rate contributed to cause severe ice jam flooding, inundated regional highways and municipal streets as well as railroads and bridges; massive ponds formed in some residential areas; losses in crops and livestock; a State of Emergency was declared; 400 people were evacuated as the flood submerged about 200 homes, several businesses, and a junior high school; 2 people died, one from a trail derailment, the other drowned.",2,0,400,975000,4/5/1976 12:00:00 AM,0,0,1976,,
Flood,Assiniboine River MB,1976-04-01,"Assiniboine River MB, April 1976. Record flooding was reported.",0,0,0,4545103,4/1/1976 12:00:00 AM,0,0,1976,-101.4385,50.7586
Flood,Grand Falls NL,1976-05-04,"Grand Falls NL, May 4, 1976. Spring runoff caused the rise of the Exploits River which inundated a section of highway west of Grand Falls;  two people were drowned when their vehicle went off the highway and into 3 meters of water.",2,0,0,0,5/4/1976 12:00:00 AM,0,0,1976,-55.6554,48.9297
Flood,Toronto ON,1976-08-27,"Toronto ON, August 27, 1976. At least five roads were closed due to flooding.",0,0,0,0,8/27/1976 12:00:00 AM,0,0,1976,-79.3839,43.6535
Flood,"Fort McMurray, Rainbow Lake AB",1977-01-01,"Fort McMurray, Rainbow Lake AB, 1977.",0,0,0,0,1/1/1977 12:00:00 AM,0,0,1977,,
Flood,Southern and Central Ontario,1977-03-13,"Southern and central Ontario, March 13, 1977. Areas along the Saugeen and Maitland Rivers in southwestern Ontario and the city of Sault Ste. Marie that experienced flooding.  Many roads were closed along the Saugeen and Maitland Rivers.",0,0,0,0,3/13/1977 12:00:00 AM,0,0,1977,-87.3927,49.2934
Flood,Corner Brook NL,1977-12-27,"Corner Brook NL, December 27, 1977. Across Newfoundland, the combination of rain and warm temperatures on Christmas Day and Boxing Day melted the accumulation of snow and caused flooding, damaging city streets in Corner Brook.",0,0,0,0,12/27/1977 12:00:00 AM,0,0,1977,-57.9474,48.9532
Flood,Newfoundland,1978-01-14,"Newfoundland, January 14-16, 1978. Unseasonable weather conditions caused flooding of  the Grand Codroy River on the west coast of Newfoundland. The Grand Codroy River Bridge (standing since 1926) required major reconstruction because it collapsed under pressure of ice floes in the flooded river. The loss of a link between the north and south sides of the river stranded 1500 residents of Codroy, Melville, Cape Anguille and O'Regans. In addition, 244 m of telephone cable previously attached to the bridge were destroyed, leaving the four communities without phone service. In April 1978, a temporary single-lane bridge constructed 16 km downstream from the original bridge.",0,0,0,5235779,1/16/1978 12:00:00 AM,0,0,1978,-56.6963,49.1212
Flood,Milk River and area AB,1978-04-01,"Raymond, Lethbridge, Milk River and Coutts areas AB, Spring/Summer 1978. Over 400 basements were flooded (related to flooding which occurred in Edmonton on July 10, 1978).",0,0,0,0,8/31/1978 12:00:00 AM,0,0,1978,-112.0833,49.1514
Flood,Edmonton AB,1978-07-10,"Edmonton AB, July 10-11, 1978. A highly localised rainstorm and subsequent runoff exceeded the capacity of Edmonton's sewer system, causing a severe urban flood. Approximately 90 mm of rain was dumped in 1618 hours although most of the rain fell within a 4-hour period. Roads and bridges were damaged, soil was eroded, basements were flooded and sewers were backed up. Brief telephone and power failures were also reported. The areas of Raymond, Lethbridge, Milk River and Coutts were also affected.",0,0,0,1597600,7/11/1978 12:00:00 AM,0,0,1978,-113.508,53.5354
Flood,Northwestern British Columbia,1978-10-29,"Northwestern British Columbia, October 29 - November 7, 1978. Northwestern BC was hit by two floods. The first was due to a major storm system which struck October 29 to November 1. The second flood was caused by heavy rainfall and mixture of snow and rain occurring between November 4 and 7. Flooding occurred collectively along the Skeena and Nass rivers, and on the Queen Charlotte Islands. The Terrace-Kitimat region was declared a disaster area as the local economy was severely disrupted by the flooding and loss of communication links. Kitimaat Village and Thornhill were also affected while Lakelse Lake and Old Remo areas were the worst hit by flooding with dozens of homes flooded.  Numerous bridges were damaged and destroyed, roads and highways were washed out in many places, and the railway line between Smithers and Terrace was closed because of the flooding. A CN Rail track was undermined ? a train engine fell into the Skeena River, causing the deaths of two people.",2,0,40,8277755,11/7/1978 12:00:00 AM,0,0,1978,,
Flood,"Kicking Horse Pass, Alberta - British Columbia border",1978-11-01,"Kicking Horse Pass, Alberta - British Columbia border, November 1978. Debris flows triggered by a j?kulhlaup (sudden and rapid draining of a glacier dammed lake or of water impounded within a glacier) from Cathedral Glacier destroyed three levels of Canadian Pacific Railway track, derailing a freight train; sections of the TransCanada Highway were also buried.",0,0,0,20087353,11/1/1978 12:00:00 AM,0,0,1978,,
Flood,Calgary AB,1979-01-01,"Calgary AB, 1979. Flooding caused by hailstorm.",0,0,0,0,1/1/1979 12:00:00 AM,0,0,1979,-114.0626,51.0534
Flood,Lethbridge AB,1979-01-01,"Lethbridge AB, 1979. Flooding caused by a rainstorm.",0,0,0,0,1/1/1979 12:00:00 AM,0,0,1979,-112.8516,49.6943
Flood,Peace River AB,1979-01-01,"Peace River AB, 1979.",0,0,0,0,1/1/1979 12:00:00 AM,0,0,1979,-117.3207,56.2325
Flood,Southwestern Ontario,1979-03-05,"Southwestern Ontario, March 5, 1979. The Thames, Saugeen and Grand Rivers were some of the rivers that overflowed and caused flooding in March, 1979. Many roads were closed along the Thames River, and on the Grand River several businesses were closed; some communities on the Thames, Saugeen and Grand Rivers experienced disrupted utility service.",0,0,0,0,3/5/1979 12:00:00 AM,0,0,1979,-81.1226,43.5019
Flood,Red River region MB,1979-04-01,"Red River region MB, April-May 1979. A major flood, close to flood levels of the 1950 flood, hit the Red River region; most of the damage occurred in the valley; no communities were flooded as the dykes protecting them were temporarily raised; 10,000 people were ordered to evacuate: 1450 residents were evacuated in the town of Morris and 400 from the Roseau Reserve; livestock and poultry were also evacuated.",0,0,10000,18557303,5/31/1979 12:00:00 AM,0,0,1979,-97.2047,49.9099�
Flood,Central Ontario,1979-04-24,"Central Ontario, April 24, 1979. Areas around Lake Nipissing and along the Mississagi, Blind and Mattagami Rivers experienced flooding in April 1979. Several roads were closed near Lake Nipissing and the Mattagami River.",0,0,0,0,4/24/1979 12:00:00 AM,0,0,1979,-78.9926,44.9376
Flood,New Brunswick,1979-04-24,"New Brunswick, April 24 - May 7, 1979. Rainfall and heavy snowmelt caused extreme flood conditions in most parts of the province; record-breaking discharge was seen at some hydrometric stations. Several major highways were closed, and many residents evacuated when their homes were inundated by flood waters.",0,0,0,3227650,5/7/1979 12:00:00 AM,0,0,1979,-66.7502,46.5003
Flood,Dawson YT,1979-05-03,"Dawson YT, May 3, 1979. An ice jam on the Yukon River caused water to rise 2 m, flooding 80% of Dawson's buildings.",0,0,0,1854000,5/3/1979 12:00:00 AM,0,0,1979,-139.4317,64.0607
Flood,Central Ontario,1979-05-12,"Central Ontario, May 12, 1979. The White, Mississagi, Goulais, Spanish and Wanapetei Rivers were some rivers that overflowed and caused flooding in May 1979.  Roads and businesses were closed and utility services were disrupted in the community of White River.",0,0,0,0,5/12/1979 12:00:00 AM,0,0,1979,-78.9926,44.9376
Flood,Vancouver Island BC,1979-12-18,"Vancouver Island BC, December 18, 1979. A continuous downpour of heavy rains and strong winds caused great damage from flooding and mudslides. Campbell, Gold and Oyster Rivers on Vancouver Island were flooded. On the mainland, Surrey, Haztic, Port Moody, Squamish and some First Nation Reserves reported damage of public, private and municipal buildings/land due to flooding. Water, 15 to 30 cm deep, led to the damage of roads, bridges, and the Western Speedway.",0,0,0,2642670,12/18/1979 12:00:00 AM,0,0,1979,-125.7026,49.5929
Flood,Southern Ontario,1980-03-21,"Southern Ontario, March 21-22, 1980. Southwestern Ontario experienced severe flooding, especially in the Ganaraska region and Lower Trent River; several businesses and roads were closed.",0,0,0,0,3/22/1980 12:00:00 AM,0,0,1980,-87.3927,49.2934
Flood,Gasp?sie Region QC,1980-07-06,"Gasp?sie Region QC, July 6-7, 1980. Torrential rain, bringing 150 mm of water, caused flooding and some landslides in Gasp?e, Grande-Vall?e and Perc?. Water levels in the Grande Vall?e River raised to 4 meters. Municipalities between Grande-Vall?e and Gasp? were isolated following the closure of roads and 2 damaged bridges. 150 residences were flooded, 2 completely destroyed and 3 heavily damaged in Gasp?. 40 families were evacuated by helicopter.",0,0,160,0,7/7/1980 12:00:00 AM,0,0,1980,,
Flood,Squamish River BC,1980-12-26,"Squamish River BC, December 26-27, 1980. A combination of heavy rain and melting snow caused floods along the Squamish River and other nearby rivers; flooded areas such as Brackendale, Squamish, Princeton, Coalmont, Hope and Vancouver Island. Several bridges were washed out.  An estimated 3000 people had to be evacuated and 200 homes were damaged.",0,0,3000,10143000,12/27/1980 12:00:00 AM,119127,0,1980,-123.1717,49.712
Flood,Edmonton AB,1981-01-01,"Edmonton AB, 1981. A thunderstorm dropped 56 mm of rain in less than 3 hours causing severe and widespread flooding; the flooding resulted in washouts, mudslides and 4 deaths.",4,0,0,0,1/1/1981 12:00:00 AM,0,0,1981,-113.508,53.5354
Flood,Sussex NB,1981-01-01,"Sussex NB, 1981. Floods caused the evacuation of 20 families (assume a family of 4) and damage to property.",0,0,80,22248,1/1/1981 12:00:00 AM,0,0,1981,-65.5104,45.7235
Flood,Southeastern ON,1981-02-18,"Southeastern ON, February 18-20, 1981. The Ottawa and Rideau River basins in southeastern Ontario, as well as Toronto suffered flood damages.",0,0,0,1668590,2/20/1981 12:00:00 AM,0,0,1981,-90.4688,30.5182
Flood,Westfield and Grand Bay NB,1981-08-01,"Westfield and Grand Bay NB, August 1981. Heavy rains caused a washout of streets and culverts in both villages.",0,0,0,0,8/1/1981 12:00:00 AM,0,0,1981,-66.2343,45.3528
Flood,Hay River NT,1982-01-01,"Hay River NT, 1982.",0,0,0,572824,1/1/1982 12:00:00 AM,0,0,1982,-115.7866,60.8156
Flood,Sherbrooke QC,1982-04-17,"Sherbrooke QC, April 17-20, 1982. St-Fran?ois River completely flooded downtown Sherbrooke with 3 metres of water. 100 businesses flooded; 300 people evacuated.",0,0,300,0,4/17/1982 12:00:00 AM,0,0,1982,-71.9463,45.4035
Flood,Aklavik NT,1982-06-01,"Aklavik NT, June 1-6, 1982. Late in May, three separate ice jams occurred downstream of Point Seperation causing backwater flow to be diverted down the Peel Channel. As a result, the remote settlement of Aklavik experienced significant flooding. Flood waters damaged numerious homes in Aklavik and left debris scattered along the settlement's airstrip. On June 3, flood water reached a peak level of nearly 11 metres. It is estimated that 95 per cent of the Mackenzie Delta was under water. This event was the most severe flood event to occur in the region since 1961.",0,0,0,141412,6/6/1982 12:00:00 AM,0,0,1982,-135.0136,68.2183
Flood,Grande Prairie AB,1982-07-13,"Grande Prairie AB, July 13-15 and August 1-3, 1982. Most of the Smoky River Basin above the junction of the Wapiti and Smoky rivers received in excess of 100 mm of precipitation.  The intensity of the rainfall overloaded Grande Prairie\'s storm and sanitary sewage systems and caused numerous flooded basements.  The second storm on August 1-3 set a new 24-hour August rainfall record at Grande Prairie.  The flood events caused extensive damage to buildings, roads, bridges and rail facilities in the Smoky River Basin.",0,0,0,0,8/3/1982 12:00:00 AM,115994,0,1982,-118.795,55.1711
Flood,Central Alberta,1983-01-01,"Central Alberta, 1983.",0,0,0,0,1/1/1983 12:00:00 AM,0,0,1983,-113.4923,53.541
Flood,"Central, southern, and western Newfoundland",1983-01-11,"Central, southern, and western Newfoundland, January 11-19, 1983. Due to mild temperatures and excessive rainfall from a major Snowstorm, homes and highways were damaged along the Exploits and Gander Rivers (central), the Conne River (southern), and in Stephenville (west coast); the flood occurred after 189 mm of rain fell within a 36-hour period, destroying several homes, businesses and other infrastructure worth approximately $4 million; several homes, two railway cars and a local club were washed away; approximately 500 people were evacuated; numerous washouts along many central highways forced travellers to seek refuge; no loss of life or personal injury was reported; flooding in the Exploits and Gander River basins resulted in partial damage to the dam and power house in Bishop's Falls on the Exploits River. >60 homes were flooded",0,0,500,6367841,1/19/1983 12:00:00 AM,0,0,1983,,
Flood,Badger NL,1983-02-28,"Badger NL, February 27 - March 10, 1983.  Severe flooding in Badger due to ice and debris blockages of the Exploits River. The town hall, fire hall and arena were flooded, and 34 homes evacuated. Badger was declared a disaster area.",0,0,0,0,3/10/1983 12:00:00 AM,0,0,1983,-56.044,48.9784
Flood,"North shore of St. Lawrence River, and Yamachiche Maskinonge River basins QC",1983-03-19,"North shore of St. Lawrence River, and Yamachiche Maskinonge River basins QC, March 19-20, 1983. Ice jams caused flooding in Louiseville and Yamachiche which led to road closings and the evacuation of several hundred homes, businesses, schools and a hospital.",0,0,0,0,3/20/1983 12:00:00 AM,0,0,1983,,
Flood,"upper Richelieu River, Montr?al QC",1983-05-10,"Upper Richelieu River QC, May 10, 1983. Plus several communities along the Ottawa River, Rivi?re Gatineau, Rivi?re du Li?vre, Rivi?re des Prairies, Rivi?re des Mille ?les, and Rivi?re Rouge were also affected; heavy rains of 70110 mm caused widespread flooding along the upper Richelieu River on May 10, 1983; from the city of Saint-Jean to the Canada-U.S. border, 640 homes and 373 cottages were flooded; approximately 160 people were evacuated.",0,0,160,0,5/10/1983 12:00:00 AM,0,0,1983,,
Flood,Gasp?sie QC,1983-12-07,"Gasp?sie and lower north shore of Gulf of St. Lawrence River QC, December 7-8, 1983. High tides and violent winds from a severe storm caused flooding along the Gasp?sie and Gulf of St. Lawrence shores along with landslides; damage, partially wind related, was widespread; several wharves, ships, and roads were damage; several homes and cottages were flooded; the communities of Chandler, La Martre, Sainte-Anne-des-Monts and Longue-Pointe were affected.",0,0,0,53831341,12/7/1983 12:00:00 AM,0,0,1983,,
Flood,Avalon Peninsula NL,1983-12-22,"Avalon Peninsula NL, December 22-25, 1983. On these days several coastal communities, including St. John's, experienced flooding and road washouts due to high tides and strong winds.",0,0,0,0,12/25/1983 12:00:00 AM,0,0,1983,-53.3706,47.6218
Flood,Northeast Saskatchewan,1984-01-01,"Northeast SK, 1984. Excessive moisture caused crop losses.",0,0,0,0,1/1/1984 12:00:00 AM,0,0,1984,-106.1412,55.5321
Flood,Lower Fraser River Valley BC,1984-01-04,"Lower Fraser River Valley BC, January 4-5, 1984. Heavy rainfall and snowmelt caused flooding in southwestern British Columbia; transportation was disrupted as debris jams and water obstructed traffic on Highway 1; several problems were caused by flooding and washouts; there was a mudslide and a bridge washout, and sections of CP and CN railway track were washed out as well as damage to a fish hatchery.",0,0,0,4029790,1/5/1984 12:00:00 AM,0,0,1984,,
Flood,Truro NS,1984-02-05,"Truro NS, February 5-8, 1984. A combination of mild temperatures, rainfall, snowmelt and ice jams caused flooding in the Truro area; along the Salmon and North Rivers several homes were inundated; Feb. flood described as the worst in 50 years; one death from fumes while pumping out a basement.",1,0,0,0,2/8/1984 12:00:00 AM,0,0,1984,-63.3,45.3667
Flood,Southern Ontario,1984-02-13,"Southern Ontario, February 13-17, 1984. Toronto, Chatham, Dresden, Port Bruce, St. Thomas, and Brantford experienced flooding due to very mild weather and rainfall; ice jams formed on several rivers causing them to overflow; several roads were closed due to flooding, most of them along the St. Clair and Thames River in the southeastern part of Ontario; in Toronto, the Don Valley Parkway was closed in areas due to overflow in the Don River; two people died as they were swept away on Black Creek in Toronto; over a hundred were evacuated in southern Ontario; utilities were disrupted in some areas and businesses were forced to close.",2,0,150,0,2/17/1984 12:00:00 AM,0,0,1984,-87.3927,49.2934
Flood,Saint John River Basin NB,1984-04-25,"Saint John River basin NB, April 25 - May 6, 1984. Due to rain, mild temperatures and snowmelt in late Apr. and early May, the Saint John River flooded areas between Fredericton and Gagetown; several houses were inundated and the TransCanada Highway was closed for several days;  one person was reported to have drowned when his vehicle left a flooded section of Route #690 near Lakeville Corner and plunged into deeper water.",1,0,0,0,5/6/1984 12:00:00 AM,0,0,1984,,
Flood,Pemberton area BC,1984-10-06,"Pemberton area BC, October 6-8, 1984. Persistent heavy rains over three days caused severe flooding in the Pemberton, Squamish, and Lion's Bay areas; 300 people were evacuated; the flood caused one death.",1,0,300,3999112,10/8/1984 12:00:00 AM,0,0,1984,-127.759,50.6362
Flood,Chatham ON,1985-02-23,"Chatham ON, February 23 - March 2, 1985. The city of Chatham and agricultural land in Dover and Raleigh Townships downstream of Chatham experienced widespread flooding due to a combination of mild temperatures leading to snowmelt; the Thames River and McGregor and Indian Creeks overflowed due to snowmelt runoff; an estimated 1180 homes experienced flooding; a dam was damaged; an Ontario Provincial Police helicopter was used to evacuate 30 people in outlying areas.",0,0,30,0,3/2/1985 12:00:00 AM,0,0,1985,-82.1854,42.4057
Flood,Lake Erie ON,1985-03-31,"Lake Erie ON, March 31 and April 6, 1985. Two separate storms hit the shoreline of Lake Erie; hardest hit were Point Pelee and Long Point located along the shore of the lake; the storms destroyed cottages, washed out access roads, eroded beaches, uprooted trees and breached dikes.",0,0,0,0,4/6/1985 12:00:00 AM,0,0,1985,-81.2407,41.7629
Flood,"Hay River Township, south shore of Great Slave Lake NT",1985-05-03,"Hay River Township, south shore of Great Slave Lake NT, May 3, 1985. Record high flows of the Hay River and ice jams caused serious flooding, requiring the evacuation of West Channel residents. Ice jams, spring runoff, minor damages, one injury.",0,1,0,0,5/3/1985 12:00:00 AM,0,0,1985,,
Flood,Lake Huron and Lake Erie ON,1985-12-02,"Lake Huron and Lake Erie ON, December 2, 1985. A storm with winds gusting up to 100 km/h severely affected shorelines with western exposures; erosion occurred on Lake Huron; on the eastern end of Lake Erie, cottages were destroyed; property and shore protection structures were damaged.",0,0,0,0,12/2/1985 12:00:00 AM,0,0,1985,,
Flood,Riviere Chaudi?re QC,1986-03-30,"Rivi?re Chaudi?re QC, March 30 - April 1, 1986. Communities along the Rivi?re Chaudi?re experienced flooding during the 1986 spring thaw; heavy rain and ice jams contributed to flooding which forced about 750 people to evacuate; an estimated 460 businesses and homes were flooded along the river; the communities of Saint-Georges, Beauceville, Saint-Joseph, Sainte-Marie, Scott, Breakeyville, Saint-?tienne, and Saint-Lambert were directly affected by the flood.",0,0,750,0,4/1/1986 12:00:00 AM,0,0,1986,-70.8025,46.2253
Flood,Icelandic River and Fisher River MB,1986-04-01,"Icelandic and Fisher Rivers MB, April-June 1986. Little warning preceded the flood on April 1, 1986, which continued on until the end of June. A sudden spring thaw and enormous amounts of rain caused this severe flooding throughout Manitoba. Extensive damage to private, municipal and provincial property was incurred. The areas surrounding Icelandic River and Fisher River were inundated, including Peguis and Fisher River First Nation reserves (148 people were evacuated from Peguis). Major areas affected were the Dauphin Region, Portage la Prairie and the Northern Interlake regions.",0,0,148,2893389,6/30/1986 12:00:00 AM,0,0,1986,,
Flood,"Saint John River, between Simonds and Woodstock NB",1986-04-01,"Saint John River, between Simonds and Woodstock NB, April 1-4, 1986. Flooding occurred along sections of the Saint John River in early April 1986, due to ice jams; unusually warm weather contributed to rapid snowmelt and the breakup of river ice; several homes in Simonds were flooded and families had to be evacuated; a private airstrip was severely damaged with 3 light aircraft being submerged.",0,0,0,0,4/4/1986 12:00:00 AM,0,0,1986,,
Flood,Winisk ON,1986-05-16,"Winisk, Winisk River Northern ON, May 16, 1986.  Precipitation was nearly three times normal in the western James Bay area of northern Ontario in March and April; as the snowpack melted, ice jams formed on the Winisk River; the river then overflowed its banks and Winisk was inundated;  the isolation of the community, the magnitude of the flooding and a blizzard made rescue efforts difficult.  Of the 131 residents, almost all were airlifted to safety; two died; the community was virtually destroyed; a new town site was developed upstream at Peawanuk.",2,0,129,0,5/16/1986 12:00:00 AM,0,0,1986,-85.212,55.2523
Flood,North-central Alberta,1986-07-13,"North-central Alberta, July 13-24, 1986. Very heavy precipitation caused the McLeod, Pembina, the Athabasca rivers and the North Saskatchewan River and its tributaries to overflow and flood the North Saskatchewan River valley in Edmonton (July 19) and hundreds of smaller communities. Extensive damage occurred in low-lying residential areas, agricultural lands, crops, farm property and buildings. Municipal and provincial infrastructure was also damaged. 1500 homes were damaged. Refer to the Saskatchewan entry for more information on this weather system.",0,0,0,12843964,7/24/1986 12:00:00 AM,0,0,1986,-112.9147,53.5154
Flood,Saskatchewan and Alberta,1986-07-16,"Saskatchewan and Alberta, July 16-24, 1986.  A flood occurred on the North Saskatchewan River, several of its tributaries and on tributaries of the Athabasca River.  On July 22 and 24, Battleford and Prince Albert respectively experienced flooding. The floods resulted from heavy precipitation in the mountains, foothills and Great Plains regions, compounded by high antecedent soil moisture conditions.  Crops were destroyed and farm buildings were damaged.  Hundreds of homes were flooded and severe erosion occurred in some communities causing road and bridge damage and several washouts.  The extensive flooding also caused an overflow in several municipal sewer systems leading to sewer collapse. The event resulted in one death. Refer to the Alberta entry for more information on this weather system.",1,0,0,17889807,7/24/1986 12:00:00 AM,0,0,1986,-113.1707,53.7163
Flood,East Central British Columbia,1986-08-01,"East Central British Columbia, 1986. (Noeick River)",0,0,0,0,8/1/1986 12:00:00 AM,0,0,1986,-123.3798,48.5035
Flood,Southcentral Quebec,1987-03-28,"Southcentral QC, late March-early April 1987. Heavy rains and melting snow caused spring flooding; damage was widespread due to the high water levels and landslides which were brought on by the heavy rain; transportation was disrupted and hundreds of people were evacuated; most damage occurred on Apr. 1 with conditions returning to normal Apr. 2 and 3; the Beauc? region south of Qu?bec City was hit hard, as main roads were closed and homes were evacuated. The north shore of the St. Lawrence River east of Qu?bec City experienced some landslides.",0,0,300,0,4/5/1987 12:00:00 AM,0,0,1987,,
Flood,Perth-Andover NB,1987-04-02,"Perth-Andover NB, April 2, 1987. Serious damage occurred when an ice jam formed during snowmelt and heavy rainfall caused severe flooding; the railway bridge spanning the Saint John River was destroyed; 17 rail cars spilled mildly toxic water-soluble chemicals into the water; a State of Emergency was declared; mass evacuations were necessary.",0,0,300,7872284,4/2/1987 12:00:00 AM,0,0,1987,-67.7057,46.7384
Flood,Lake St. Clair ON,1987-04-04,"Lake St. Clair ON, April 4, 1987. A storm with northerly winds of almost 60 km/h caused severe flood damage along Lake St. Clair; 50 evacuated; lower floors were flooded in 100 homes.",0,0,50,0,4/4/1987 12:00:00 AM,0,0,1987,-79.3937,43.688
Flood,Montreal QC,1987-07-14,"Montreal QC, July 14, 1987. The city experienced severe thunderstorms and intense rainfall with 100 mm of rain in 1 hour. Major expressways were flooded with over three metres of water; in 30 minutes the subterranean Decarie Expressway was flooded with 3.6 metres of water; the sewer system was backed up, flooding approximately 40,000 homes and businesses; the subway system was closed; 2 dead: one from drowning in his car and the other was electrocuted.  There was also a tornado caused by the severe thunderstorm which uprooted large trees and toppled hydro lines.",2,0,0,64216681,7/14/1987 12:00:00 AM,0,0,1987,-73.6104,45.4972
Flood,Goulais River ON,1988-01-01,"Goulais River ON, 1988.",0,0,0,0,1/1/1988 12:00:00 AM,0,0,1988,-83.9352,47.0104
Flood,Northern British Columbia,1988-01-01,"Northern British Columbia, 1988.",0,0,0,0,1/1/1988 12:00:00 AM,0,0,1988,-124.256,54.4423
Flood,Duck Mountain and Swan River MB,1988-04-01,"Duck Mountain and Swan River MB, April 1, 1988. A sudden thaw along with excessive rain produced severe flooding in the Duck Mountain-Swan River area of Manitoba. Damages occurred  to private, municipal and provincial property.",0,0,0,2323137,4/1/1988 12:00:00 AM,0,0,1988,,
Flood,"Lethbridge, Taber, Irma and Wainwright AB",1988-06-04,"Lethbridge, Taber, Irma and Wainwright AB, June 4-11, 1988. Flooding due to severe weather.",0,0,0,0,6/11/1988 12:00:00 AM,0,0,1988,,
Flood,Central and Southern Alberta,1988-06-28,"Central and Southern AB, June 28-29, 1988.",0,0,0,0,6/29/1988 12:00:00 AM,0,0,1988,70.0742,-49.4749
Flood,Norman Wells NT,1988-06-29,"Norman Wells NT, June 29 - July 3 and July 11-15, 1988. Two severe flood events occurred in the Laird and Mackenzie River Basins of southwestern Northwest Territories.",0,0,0,0,6/29/1988 12:00:00 AM,0,0,1988,-126.8327,65.2824
Flood,Lesser Slave Lake region AB,1988-07-05,"Lesser Slave Lake area AB, July 5-8, 1988. A severe rainstorm which started on July 5 1988, brought up to 160 mm of rain to the Town of Slave Lake and surrounding areas. This caused overbank flooding and log jams on Sawridge Creek, Driftpile River and Swan River. Individuals, small businesses, farms, a hospital, and government property sustained damage. Major highways north of Edmonton to Slave Lake were closed. Over 800 homes flooded, 500 of them severely damaged. Approximately 2800 residents were evacuated from the area.",0,0,2800,35296621,7/8/1988 12:00:00 AM,0,0,1988,,
Flood,Albany and Attawapiskat River ON,1989-01-01,"Albany and Attawapiskat Rivers ON, 1989. 1000 evacuated.",0,0,1000,0,1/1/1989 12:00:00 AM,0,0,1989,-82.5689,52.9084
Flood,Liard River NT,1989-05-01,"Liard River NT, May 1-9, 1989. Flooding, caused by severe ice jams near 3 Mile Island, damaged the community of Fort Liard.  A State of Emergency was declared on May 1 due to the high water levels, 1 m in some areas.  Water built up when the ice jam reached Fort Simpson and the town of Hay River was also damaged. Personal, municipal and territorial property was damaged, riverbanks were eroded. Over 50 homes were affected by the flooding and 125 people were evacuated, there was no loss of life.",0,0,125,1094778,5/9/1989 12:00:00 AM,0,0,1989,-123.4616,60.2419
Flood,"Harrow, Kent, Essex, Leamington counties ON",1989-07-19,"Harrow and Colchester South, Essex County ON, July 19-20, 1989. Widespread flooding due to 450 mm of rain in a 30-hour period; the rainfall was from an intense thunderstorm which was centred over Colchester South and appeared to be stationary over Harrow for most of its duration. Many were evacuated from areas of extreme flooding and erosion; a few injuries were reported, no deaths; utility service in some areas was disrupted.  Kent and Leamington counties were also affected.",0,0,0,13807000,7/20/1989 12:00:00 AM,0,0,1989,,
Flood,Southwestern British Columbia,1989-11-08,"Southwestern British Columbia, November 8-12, 1989. A rainstorm which caused flooding occurred in southwestern British Columbia. Over 500 homes were flooded, a salmon hatchery incurred damage, and many service roads were washed away. Parts of the TransCanada highway were blocked with mudslides. The flooding also caused damage to the Coquihala highway and to the Owekena First Nation reserve; 28 residents of this reserve were evacuated.",0,0,28,3146918,11/12/1989 12:00:00 AM,0,0,1989,-123.0326,49.2807
Flood,Western Alberta,1990-05-25,"Western Alberta, May 25 - July 4, 1990. Heavy rains caused extensive flooding and runoff damage in a number of communities in Alberta during several separate periods. Rains fell from Peace River in the north to High River in the South. Flooding caused damage to public works, businesses, First Nation reserves, farmland, and extensive damage of private residences. Sewers backed up, roads and bridges washed out. The communities most affected were: Thorsby, Winfield, Calman, Mudhurst and Bentley. During late May, several rivers were 1.3-3m above their normal level and  on July 2-3, 100150 mm of rain fell on Central Alberta in 36 hours. Over 200 homes were damaged by flooding, and 4 were destroyed. 1 man drowned while crossing a river, and a woman was missing. * During the two week time period, approximately 34 families and 85 people were evacuated.",1,0,221,22147336,7/4/1990 12:00:00 AM,0,0,1990,55,-115
Flood,Woodstock NB,1990-08-01,"Woodstock area NB, August 1990. Flooding was caused by heavy rains.",0,0,0,1666667,8/1/1990 12:00:00 AM,0,0,1990,-67.5735,46.1503
