YYYYMMDDHHMM_UTC,YYYY_LOCAL,MM_LOCAL,DD_LOCAL,HHMM_LOCAL,NEAR_CMMTY,PROVINCE,FUJITA,START_LAT_N,START_LON_W,END_LAT_N,END_LON_W,LENGTH_M,MOTION_DEG,WIDTH_MAX_M,HUMAN_FATAL,HUMAN_INJ,DMG_THOUS,FORECAST_REGION,,,
19860708 2325,1986,07,08,1925,Windsor,ON,0,42.2950,-83.0210,,,1600,,,0,0,25,Windsor - Essex - Chatham-Kent,,,
19860709 0240,1986,07,08,2040,Falher,AB,1,55.7315,-117.2000,,,,,,,,20,Peace River - Fairview - High Prairie - Manning,,,
19860709 1815,1986,07,09,1215,Penhold,AB,0,52.1300,-113.8700,,,,,,,,,Red Deer - Ponoka - Innisfail - Stettler,,,
19860709 1930,1986,07,09,1430,Big Hill Springs Prov. Park,AB,0,51.2900,-114.4300,,,,,,,,,Airdrie - Cochrane - Olds - Sundre,,,
19860709 2040,1986,07,09,1440,Penhold,AB,0,52.1300,-113.8700,,,,,,,,,Red Deer - Ponoka - Innisfail - Stettler,,,
19860711 2310,1986,07,11,1710,29 km WNW of Strasbourg,SK,0,51.1000,-105.3200,,,,,,,,,Outlook - Watrous - Hanley - Imperial - Dinsmore,,,
19860713 2130,1986,07,13,1530,Cochrane,AB,0,51.1800,-114.4700,,,,,,,,,Airdrie - Cochrane - Olds - Sundre,,,
19860724 0120,1986,07,23,2020,St. Malo,MB,1,49.3200,-96.9400,,,,,,,,,Steinbach - St. Adolphe - Dominion City - Vita - Richer,,,
19860726 0000,1986,07,25,1800,Oxbow,SK,1,49.2300,-102.1700,,,,,,,,,Carlyle - Oxbow - Carnduff - Bienfait - Stoughton,,,
19860726 0135,1986,07,25,1935,Maidstone,SK,0,53.1000,-109.2800,,,,,,,,,The Battlefords - Unity - Maidstone - St. Walburg,,,
19860726 0330,1986,07,25,2230,Souris,MB,0,49.6200,-100.2600,,,,,,,,,Virden - Souris,,,
19860726 2020,1986,07,26,1420,Ferintosh,AB,0,52.7685,-112.9685,,,,,,,,,Leduc - Camrose - Wetaskiwin - Tofield,,,
19860727 1825,1986,07,27,1225,Congress,SK,0,49.7700,-106.0200,,,,,,,,,Assiniboia - Gravelbourg - Coronach,,,
19860727 2240,1986,07,27,1640,24 km S of Broadview,SK,0,50.2000,-102.5900,,,,,,,,,Moosomin - Grenfell - Kipling - Wawota,,,
19860727 2340,1986,07,27,1740,Carlyle,SK,0,49.6100,-102.2700,,,,,,,,,Carlyle - Oxbow - Carnduff - Bienfait - Stoughton,,,
19860728 2045,1986,07,28,1645,Centralia,ON,0,43.2800,-81.3400,,,,,,0,0,,Huron - Perth,,,
19860729 2045,1986,07,29,1445,Spiritwood,SK,1,53.3700,-107.5200,,,,,,,,,Prince Albert - Shellbrook - Spiritwood - Duck Lake,,,
19860729 2110,1986,07,29,1510,Sturgeon Lake,SK,0,53.4000,-106.0700,,,,,,,,,Prince Albert - Shellbrook - Spiritwood - Duck Lake,,,
19860729 2110,1986,07,29,1510,Tweedsmuir,SK,0,53.5700,-105.9500,,,,,,,,,Prince Albert - Shellbrook - Spiritwood - Duck Lake,,,
19860729 2110,1986,07,29,1510,Prince Albert,SK,0,53.2000,-105.7700,,,,,,,,,Prince Albert - Shellbrook - Spiritwood - Duck Lake,,,
19860729 2245,1986,07,29,1645,32 km E of Prince Albert,SK,0,53.1900,-105.2100,,,,,,,,,Prince Albert - Shellbrook - Spiritwood - Duck Lake,,,
19860729 2245,1986,07,29,1645,Garrick,SK,0,53.4800,-104.3300,,,,,,,,,Melfort - Tisdale - Nipawin - Carrot River,,,
198608,1986,08,15,,Maniwaki,QC,0,46.3795,-75.9735,,,,,,,,,Upper Gatineau - Lièvre - Papineau,,,
19860819 2300,1986,08,19,1800,Stockton,MB,0,49.5500,-99.6200,,,,,,,,,Brandon - Carberry - Treherne,,,
19860819 2350,1986,08,19,1850,Near Glenboro,MB,0,49.6000,-99.4600,,,,,,,,,Brandon - Carberry - Treherne,,,
19860824 2200,1986,08,24,1700,Mather,MB,1,49.1100,-99.2300,,,,,,,,,Killarney - Pilot Mound - Manitou,,,
19860825 0030,1986,08,24,1930,Neepawa,MB,0,50.2200,-99.4700,,,,,,,,,Minnedosa - Neepawa - Russell - Riding Mountain National Park,,,
19860902 2200,1986,09,02,1600,Portreeve,SK,0,50.8300,-109.0200,,,,,,,,,Leader - Gull Lake,,,
19870524 1900,1987,05,24,1300,Manning,AB,0,56.8710,-117.6610,,,,,,,,,Peace River - Fairview - High Prairie - Manning,,,
198705,1987,05,28,,Glen-Sutton,QC,0,45.0408,-72.5462,,,,,,,,,Eastern Townships,,,
19870528 1900,1987,05,28,1400,Oak Lake,MB,0,49.7590,-100.6830,,,,,,,,,Virden - Souris,,,
19870528 1900,1987,05,28,1400,Alexander,MB,0,49.9300,-100.2600,,,,,,,,,Virden - Souris,,,
19870528 1940,1987,05,28,1440,Minnedosa,MB,0,50.2400,-99.8400,,,,,,,,,Minnedosa - Neepawa - Russell - Riding Mountain National Park,,,
19870605 ,1987,06,,,Hythe,AB,1,55.3315,-119.5500,,,,,,,,,Grande Prairie - Beaverlodge - Valleyview,,,
19870606 0720,1987,06,06,0120,Arcola,SK,1,49.6300,-102.4800,,,,,,0,1,,Carlyle - Oxbow - Carnduff - Bienfait - Stoughton,,,
198706,1987,06,08,,Fort-Coulonge,QC,1,45.8415,-76.7384,,,,,,,,,Pontiac,,,
19870615 0400,1987,06,14,2200,Florann,AB,0,49.2700,-111.4000,,,,,,,,,Cypress Hills Provincial Park - Foremost,,,
19870617 0030,1987,06,16,1830,19 km SE Gravelbourg,SK,1,49.7800,-106.3800,,,,,,,,,Assiniboia - Gravelbourg - Coronach,,,
19870617 0030,1987,06,16,1830,Norquay,SK,0,51.8500,-102.0500,,,,,,,,,Kamsack - Canora - Preeceville,,,
19870617 0130,1987,06,16,2030,15 km W of Shoal Lake,MB,1,50.4330,-100.7470,,,,,,,,,Minnedosa - Neepawa - Russell - Riding Mountain National Park,,,
19870617 0300,1987,06,16,2200,6 km W of Grandview,MB,0,51.1800,-100.7800,,,,,,,,,Dauphin - Roblin - Winnipegosis,,,
19870617 0509,1987,06,17,0009,Kola,MB,0,49.8500,-101.3700,,,,,,,,,Virden - Souris,,,
19870630 0130,1987,06,29,2130,Bracebridge,ON,0,45.0300,-79.3100,,,,,,0,0,,Parry Sound - Muskoka,,,
19870703 0100,1987,07,02,1900,High Prairie,AB,0,55.4315,-116.4815,,,,,,,,,Peace River - Fairview - High Prairie - Manning,,,
19870707 0030,1987,07,06,1930,Winnipeg,MB,1,49.8140,-97.1960,,,,,,,,,City of Winnipeg,,,
19870707 0030,1987,07,06,1930,Winnipeg,MB,1,49.7340,-97.1440,,,,,,,,,Steinbach - St. Adolphe - Dominion City - Vita - Richer,,,
19870709 2000,1987,07,09,1400,Rocanville,SK,0,50.4000,-101.6830,,,,,,,,,Moosomin - Grenfell - Kipling - Wawota,,,
19870709 2105,1987,07,09,1505,Indian Head,SK,0,50.4390,-103.6920,,,,,,,,,Fort Qu'Appelle - Indian Head - Lumsden - Pilot Butte,,,
19870709 ,1987,07,,,Katepwa Beach,SK,0,50.6950,-103.6340,,,,,,,,,Fort Qu'Appelle - Indian Head - Lumsden - Pilot Butte,,,
19870722 2335,1987,07,22,1935,Hornepayne,ON,1,49.2140,-84.7790,49.2140,-84.7735,400,270,,0,0,,Geraldton - Manitouwadge - Hornepayne,,,
198707,1987,07,24,,Parc du Mont-Tremblant,QC,0,46.3736,-74.5079,,,,,,,,,Mont-Tremblant Park - Saint-Michel-des-Saints,,,
19870725 2300,1987,07,25,1700,Springbank,AB,1,51.0700,-114.2500,,,,,,,,,Okotoks - High River - Claresholm,,,
19870725 2300,1987,07,25,1700,Ghost Pine Creek,AB,1,51.7200,-113.0700,,,,,,,,,Drumheller - Three Hills,,,
19870725 ,1987,07,,,Eckville,AB,0,52.3500,-114.3700,,,,,,,,,Red Deer - Ponoka - Innisfail - Stettler,,,
19870725 ,1987,07,,,Blindman Valley,AB,1,52.4700,-113.7300,,,,,,,,,Red Deer - Ponoka - Innisfail - Stettler,,,
19870725 ,1987,07,,,Milo,AB,2,50.5700,-112.8800,,,,,,,,,Brooks - Strathmore - Vulcan,,,
19870725 ,1987,07,,,Bow Island,AB,1,49.8220,-111.2700,,,,,,,,,Medicine Hat - Bow Island - Suffield,,,
19870726 0100,1987,07,25,1900,Jalna,AB,1,53.7750,-115.1250,,,,,,,,,Spruce Grove - Morinville - Mayerthorpe - Evansburg,,,
19870726 0430,1987,07,25,2200,Esther,AB,1,51.7000,-110.2700,,,,,,,,,Hanna - Coronation - Oyen,,,
198707,1987,07,26,,Kinnear's Mills,QC,1,46.2199,-71.3763,,,,,,,,,Eastern Townships,,,
19870728 2325,1987,07,28,1725,Gravelbourg,SK,1,49.8720,-106.5580,,,,,,,,,Assiniboia - Gravelbourg - Coronach,,,
19870729 ,1987,07,,,Grande Cache,AB,1,53.9000,-119.1500,,,5640,,310,,,,Hinton - Grande Cache,,,
19870729 ,1987,07,,,27 km W of High Prairie,AB,0,55.4300,-116.9200,,,,,,,,25,Peace River - Fairview - High Prairie - Manning,,,
19870730 0800,1987,07,30,0200,Dapp,AB,0,54.2718,-113.8736,,,,,,,,,Westlock - Barrhead - Athabasca,,,
19870730 2230,1987,07,30,1630,Limerick,SK,0,49.7100,-106.3600,,,,,,,,,Assiniboia - Gravelbourg - Coronach,,,
19870730 2345,1987,07,30,1745,St. Albert,AB,1,53.6300,-113.5400,,,,,,,,,City of Edmonton - St. Albert - Sherwood Park,,,
19870730 ,1987,07,,,Nisku,AB,1,53.3315,-113.5315,,,,,,,,,Leduc - Camrose - Wetaskiwin - Tofield,,,
19870731 0130,1987,07,30,1930,Bon Accord,AB,0,53.8315,-113.4185,,,,,,,,,Fort Saskatchewan - Vegreville - Redwater - Smoky Lake,,,
19870731 0215,1987,07,30,2015,Penhold,AB,0,52.1300,-113.8700,,,,,,,,,Red Deer - Ponoka - Innisfail - Stettler,,,
19870731 2055,1987,07,31,1455,Leduc,AB,0,53.2510,-113.5340,,,,,,0,0,,Leduc - Camrose - Wetaskiwin - Tofield,,,
19870731 2101,1987,07,31,1501,Beaumont,AB,2,53.2970,-113.4070,53.3580,-113.3670,7260,205,,0,0,,Leduc - Camrose - Wetaskiwin - Tofield,,,
19870731 2103,1987,07,31,1503,Edmonton #1,AB,4,53.3640,-113.3770,53.6397,-113.3473,30800,185,1300,27,300,260000,Leduc - Camrose - Wetaskiwin - Tofield,,,
19870731 2125,1987,07,31,1525,Edmonton #2,AB,1,53.4600,-113.3740,,,,,,,,,City of Edmonton - St. Albert - Sherwood Park,,,
19870731 2145,1987,07,31,1545,Iddesleigh,AB,0,50.7300,-111.3000,,,,,,,,,Medicine Hat - Bow Island - Suffield,,,
19870731 2329,1987,07,31,1729,Blue Ridge,AB,0,53.0167,-116.7167,,,,,,,,,Nordegg - Forestry Trunk Road Highway 734,,,
19870731 ,1987,07,,,Millet to Vegreville,AB,2,53.3000,-112.7583,53.5000,-112.0500,52000,245,,,,40,Leduc - Camrose - Wetaskiwin - Tofield,,,
19870731 ,1987,07,,,Kindersley,SK,0,51.4500,-109.1670,,,,,,,,,Kindersley - Rosetown - Biggar - Wilkie - Macklin,,,
19870731 ,1987,07,,,Francis,SK,0,50.0500,-103.9500,,,,,,,,,Fort Qu'Appelle - Indian Head - Lumsden - Pilot Butte,,,
19870801 0000,1987,07,31,1800,Island Lake,AB,0,54.8315,-113.5685,,,,,,,,,Westlock - Barrhead - Athabasca,,,
19870801 0015,1987,07,31,1815,Leader,SK,1,50.8700,-109.5500,,,,,,,,,Leader - Gull Lake,,,
19870801 0125,1987,07,31,1925,Netherhill,SK,0,51.4580,-108.8600,,,,,,,,,Kindersley - Rosetown - Biggar - Wilkie - Macklin,,,
19870801 0130,1987,07,31,1930,Maple Creek,SK,1,49.9200,-109.4800,,,,,,,,,Shaunavon - Maple Creek - Val Marie - Cypress Hills,,,
19870805 0200,1987,08,04,2100,Gilbert Plains,MB,1,51.1380,-100.5940,,,,,,,,,Dauphin - Roblin - Winnipegosis,,,
19870805 2045,1987,08,05,1445,Foam Lake,SK,0,51.6500,-103.5300,,,,,,,,,Humboldt - Wynyard - Wadena - Lanigan - Foam Lake,,,
19870806 0000,1987,08,05,1900,22 km SW of Grandview,MB,1,51.0460,-100.9290,,,,,,,,,Dauphin - Roblin - Winnipegosis,,,
19870810 2100,1987,08,10,1600,Brandon,MB,0,49.8400,-99.9500,,,,,,,,,Brandon - Carberry - Treherne,,,
19870814 2030,1987,08,14,1530,Morris,MB,0,49.3500,-97.3600,,,,,,,,,Morden - Winkler - Altona - Emerson - Morris,,,
19870821 0040,1987,08,20,1840,24 km SE of Lampman,SK,1,49.2340,-102.5770,,,,,,,,,Carlyle - Oxbow - Carnduff - Bienfait - Stoughton,,,
198708,1987,08,30,,St. Lawrence,NL,0,46.9300,-55.4000,,,,,,0,0,0,Burin Peninsula,,,
19880430 2130,1988,04,30,1530,Roche Percee,SK,0,49.0700,-102.8000,,,,,800,,,,Carlyle - Oxbow - Carnduff - Bienfait - Stoughton,,,
198805,1988,05,01,,Vancouver,BC,0,49.2667,-122.8500,,,,,,,,,Metro Vancouver,,,
19880508 0100,1988,05,07,2000,Devlin,ON,1,48.5700,-93.6700,,,,,,0,0,,Fort Frances - Rainy Lake,,,
19880508 0123,1988,05,07,2023,Winnipeg,MB,0,49.8800,-97.1400,,,,,,,,,City of Winnipeg,,,
19880516 0100,1988,05,15,2100,Shelburne,ON,1,43.9880,-80.3340,44.1290,-79.9910,32000,250,500,0,1,500,Dufferin - Innisfil,,,
19880516 1700,1988,05,16,1300,Wingham,ON,0,43.8200,-81.3600,,,,,,0,0,,Huron - Perth,,,
19880520 2005,1988,05,20,1505,NW of Parkbeg,SK,0,50.4940,-106.3030,,,,,,,,,Moose Jaw - Pense - Central Butte - Craik,,,
19880520 2122,1988,05,20,1522,13 km NW of North Battleford,SK,0,52.8400,-108.4400,,,,,,,,,The Battlefords - Unity - Maidstone - St. Walburg,,,
19880528 0100,1988,05,27,1900,Regina,SK,0,50.4500,-104.6200,,,,,,,,,City of Regina,,,
19880530 0415,1988,05,29,2200,Grenfell,SK,0,50.4200,-102.9300,,,,,,,,,Moosomin - Grenfell - Kipling - Wawota,,,
19880604 ,1988,06,,,Near Milk River,AB,0,49.1500,-112.3300,,,,,,,,,Lethbridge - Taber - Milk River,,,
198806,1988,06,05,,Thetford Mines,QC,0,46.0890,-71.3020,,,,,,,,,Eastern Townships,,,
19880605 0730,1988,06,05,0130,Minaret,AB,1,51.7300,-114.1200,,,,,,,,,Airdrie - Cochrane - Olds - Sundre,,,
19880605 0800,1988,06,05,0200,Aldersyde,AB,1,50.7500,-113.7600,,,,,,,,,Okotoks - High River - Claresholm,,,
19880605 0830,1988,06,05,0230,Clive,AB,1,52.4700,-113.4500,,,,,,,,,Red Deer - Ponoka - Innisfail - Stettler,,,
19880605 0900,1988,06,05,0300,Tofield #1,AB,0,53.5128,-112.5750,,,,,,,,,Leduc - Camrose - Wetaskiwin - Tofield,,,
19880605 1000,1988,06,05,0400,Tofield #2,AB,1,53.5100,-112.5800,,,,,90,,,,Leduc - Camrose - Wetaskiwin - Tofield,,,
19880605 1030,1988,06,05,0430,Dodds,AB,1,53.2300,-112.4900,,,,,,,,,Leduc - Camrose - Wetaskiwin - Tofield,,,
19880605 1100,1988,06,05,0500,Wasel,AB,2,53.9917,-112.1417,,,,,,,,,Bonnyville - St. Paul - Cold Lake - Lac La Biche,,,
19880606 0530,1988,06,05,2330,Cypress Hills Prov. Park,AB,0,49.6300,-110.2000,,,,,,,,,Cypress Hills Provincial Park - Foremost,,,
19880606 0930,1988,06,06,0330,Ribstone - Chauvin,AB,1,52.7000,-110.1833,,,,,,,,,Lloydminster - Wainwright - Vermilion - Provost,,,
19880606 ,1988,06,,,Provost,AB,1,52.3500,-110.2700,,,,,,,,,Lloydminster - Wainwright - Vermilion - Provost,,,
19880608 0000,1988,06,07,1800,Cabri,SK,0,50.6170,-108.4670,,,,,,,,,Swift Current - Herbert - Cabri - Kyle - Lucky Lake,,,
19880608 0200,1988,06,07,2000,Veteran,AB,1,52.0000,-111.0000,,,,,,,,,Hanna - Coronation - Oyen,,,
19880608 ,1988,06,,,Forestburg,AB,1,52.5800,-112.0700,,,,,,,,,Red Deer - Ponoka - Innisfail - Stettler,,,
19880608 ,1988,06,,,Assiniboia,SK,0,49.6330,-105.9830,,,,,,,,,Assiniboia - Gravelbourg - Coronach,,,
19880609 0128,1988,06,08,1928,Near Coronach,SK,0,49.1160,-105.6970,49.2880,-105.5200,23000,215,,,,,Assiniboia - Gravelbourg - Coronach,,,
19880609 0200,1988,06,08,2000,Rockglen,SK,0,49.1800,-105.9500,,,,,,,,,Assiniboia - Gravelbourg - Coronach,,,
19880609 0210,1988,06,08,2010,16 km SE of Hodgeville,SK,0,50.0400,-106.7900,,,,,,,,,Assiniboia - Gravelbourg - Coronach,,,
19880609 0234,1988,06,08,2034,19 km S of Kindersley,SK,0,51.3300,-109.1800,,,,,,,,,Kindersley - Rosetown - Biggar - Wilkie - Macklin,,,
19880609 0340,1988,06,08,2140,Ormiston,SK,0,49.7300,-105.4000,,,,,,,,,Assiniboia - Gravelbourg - Coronach,,,
19880610 1500,1988,06,10,0900,Montmartre,SK,0,50.2300,-103.4500,,,,,,,,,Fort Qu'Appelle - Indian Head - Lumsden - Pilot Butte,,,
19880610 1900,1988,06,10,1300,Lashburn,SK,0,53.1300,-109.6000,,,,,,,,,The Battlefords - Unity - Maidstone - St. Walburg,,,
19880610 2100,1988,06,10,1500,Churchbridge,SK,0,50.9000,-101.9000,,,,,,,,,Yorkton - Melville - Esterhazy,,,
19880610 2130,1988,06,10,1730,Langenburg,SK,0,50.8350,-101.5710,,,,,,,,,Yorkton - Melville - Esterhazy,,,
19880610 2330,1988,06,10,1730,Sakimay Reserve,SK,0,50.5600,-103.1800,,,,,,,,,Yorkton - Melville - Esterhazy,,,
19880611 0000,1988,06,10,1800,Vermilion,AB,1,53.3685,-110.8500,,,,,,,,,Lloydminster - Wainwright - Vermilion - Provost,,,
19880611 0110,1988,06,10,1910,Cut Knife,SK,0,52.7310,-108.8300,,,,,,,,,The Battlefords - Unity - Maidstone - St. Walburg,,,
19880615 1445,1988,06,15,0900,Traverse bay,MB,0,50.6400,-96.4700,,,,,,,,,Dugald - Beausejour - Grand Beach,,,
19880619 0000,1988,06,18,1900,Whitefish Lake,MB,0,52.1300,-101.4000,,,,,,,,,Swan River - Duck Mountain - Porcupine Provincial Forest,,,
19880620 1815,1988,06,20,1215,Lampman,SK,0,49.4700,-102.8400,,,,,,,,,Estevan - Weyburn - Radville - Milestone,,,
19880623 ,1988,06,,,Bashaw,AB,1,52.5815,-112.9685,,,,,,,,,Red Deer - Ponoka - Innisfail - Stettler,,,
19880624 1215,1988,06,24,0615,Wilke,SK,1,52.4200,-108.7000,,,,,,,,,The Battlefords - Unity - Maidstone - St. Walburg,,,
19880624 1300,1988,06,24,0700,Near Borden,SK,0,52.5290,-107.2510,,,,,,,,,Martensville - Warman - Rosthern - Delisle - Wakaw,,,
19880628 0330,1988,06,27,2130,Hazlet,SK,1,50.4960,-108.6200,,,,,,,,,Leader - Gull Lake,,,
19880628 2330,1988,06,28,1730,Stirling,AB,1,49.5800,-112.4300,,,,,,,,,Lethbridge - Taber - Milk River,,,
19880628 ,1988,06,,,Halkirk,AB,0,52.2800,-112.1500,,,,,,,,,Red Deer - Ponoka - Innisfail - Stettler,,,
19880629 0115,1988,06,28,1915,Jenner,AB,1,50.7500,-111.1800,,,,,,,,,Medicine Hat - Bow Island - Suffield,,,
19880629 0130,1988,06,28,1930,15 km N of Irma,AB,1,53.0500,-111.2000,,,8000,,,,,,Lloydminster - Wainwright - Vermilion - Provost,,,
19880629 1930,1988,06,29,1330,Cardston,AB,2,49.2000,-113.3000,,,,,,,,,Cardston - Fort Macleod - Magrath,,,
19880629 2150,1988,06,29,1550,Shaunavon,SK,0,49.6500,-108.4200,,,,,,,,,Shaunavon - Maple Creek - Val Marie - Cypress Hills,,,
19880705 0900,1988,07,05,0400,La Broquerie,MB,2,49.5200,-96.4900,,,,,,,,,Steinbach - St. Adolphe - Dominion City - Vita - Richer,,,
19880705 2250,1988,07,05,1650,Magrath,AB,0,49.4200,-112.8700,,,,,,,,,Cardston - Fort Macleod - Magrath,,,
19880705 ,1988,07,,,Near Hardisty,AB,1,52.7417,-111.0833,,,,,,,,40,Lloydminster - Wainwright - Vermilion - Provost,,,
19880706 0130,1988,07,05,1930,Frontier,SK,1,49.3000,-108.5830,,,,,,,,,Shaunavon - Maple Creek - Val Marie - Cypress Hills,,,
19880706 0200,1988,07,05,2000,11 km S of Delisle,SK,0,51.8400,-107.1300,,,,,,,,,Outlook - Watrous - Hanley - Imperial - Dinsmore,,,
19880714 0015,1988,07,13,1815,Biggar,SK,1,52.0700,-108.0000,,,,,,,,,Kindersley - Rosetown - Biggar - Wilkie - Macklin,,,
19880714 1750,1988,07,14,1150,Athabasca,AB,1,54.7185,-113.2815,,,,,,,,,Westlock - Barrhead - Athabasca,,,
19880715 0111,1988,07,14,1911,Asquith,SK,1,52.1370,-107.2300,,,,,,,,,Martensville - Warman - Rosthern - Delisle - Wakaw,,,
19880715 0203,1988,07,14,2003,Allan,SK,0,51.9500,-106.0800,,,,,,,,,Martensville - Warman - Rosthern - Delisle - Wakaw,,,
19880715 0215,1988,07,14,2015,21 km ESE of Saskatoon,SK,0,52.0700,-106.4200,,,,,,,,,Martensville - Warman - Rosthern - Delisle - Wakaw,,,
198807,1988,07,29,,30 km E of Nestor Falls,ON,1,49.1140,-93.5250,,,,,,,,,Kenora - Nestor Falls,,,
19880730 1945,1988,07,30,1545,Norwich,ON,0,42.9800,-80.6000,,,,,,0,0,20,Oxford - Brant,,,
19880801 2030,1988,08,01,1430,Carstairs,AB,0,51.5300,-114.1300,,,,,,,,,Airdrie - Cochrane - Olds - Sundre,,,
19880803 0054,1988,08,02,2054,Petawawa,ON,0,45.8947,-77.2832,,,,,,,,,Renfrew - Pembroke - Barry's Bay,,,
198808,1988,08,02,,Montcerf,QC,0,46.5378,-76.0444,,,,,,,,,Upper Gatineau - Lièvre - Papineau,,,
19880810 2200,1988,08,10,1720,Clearwater Lake,MB,0,53.9700,-100.9800,,,,,,,,,The Pas - Wanless - Westray - Clearwater Lake Prov. Park,,,
19880811 2220,1988,08,11,1620,Glaslyn,SK,0,53.3500,-108.2800,,,,,,,,,The Battlefords - Unity - Maidstone - St. Walburg,,,
19880830 0430,1988,08,29,2230,Fort Vermilion,AB,1,58.4000,-116.0000,,,,,,,,,High Level - Rainbow Lake - Fort Vermilion - Mackenzie Hwy,,,
19880917 2130,1988,09,17,1730,Etobicoke,ON,0,43.7032,-79.5690,43.7041,-79.5643,400,255,,0,0,75,City of Toronto,,,
19890511 0015,1989,05,10,1815,Thorhild,AB,1,54.1400,-113.1280,,,,,,,,,Fort Saskatchewan - Vegreville - Redwater - Smoky Lake,,,
19890605 2350,1989,06,05,1750,Star,AB,1,53.8305,-112.7685,,,,,,,,,Fort Saskatchewan - Vegreville - Redwater - Smoky Lake,,,
19890606 1945,1989,06,06,1345,Cut Knife,SK,0,52.7700,-109.0000,,,,,,,,,The Battlefords - Unity - Maidstone - St. Walburg,,,
19890611 1845,1989,06,11,1245,Kronau,SK,0,50.3000,-104.3000,,,,,,,,,Fort Qu'Appelle - Indian Head - Lumsden - Pilot Butte,,,
19890616 1823,1989,06,16,1223,Roseray,SK,0,50.4200,-108.4700,,,,,,,,,Swift Current - Herbert - Cabri - Kyle - Lucky Lake,,,
19890619 2030,1989,06,19,1430,Blaine Lake,SK,1,52.8330,-107.0000,,,,,,,,,Martensville - Warman - Rosthern - Delisle - Wakaw,,,
19890620 0110,1989,06,19,1900,Armley,SK,0,53.1500,-104.1500,,,,,,,,,Melfort - Tisdale - Nipawin - Carrot River,,,
19890620 0200,1989,06,19,2000,Craven,SK,0,50.7800,-104.8000,,,,,,,,,Fort Qu'Appelle - Indian Head - Lumsden - Pilot Butte,,,
19890620 0200,1989,06,19,2000,Regina,SK,0,50.4500,-104.6200,,,,,,,,,City of Regina,,,
19890620 0200,1989,06,19,2000,Kronau,SK,0,50.3500,-104.3670,,,,,,,,,Fort Qu'Appelle - Indian Head - Lumsden - Pilot Butte,,,
19890620 0200,1989,06,19,2000,Riceton,SK,1,50.1300,-104.2600,,,,,,,,,Fort Qu'Appelle - Indian Head - Lumsden - Pilot Butte,,,
19890620 0210,1989,06,19,2010,Corinne #1,SK,1,50.0400,-104.6200,,,,,180,,,,Estevan - Weyburn - Radville - Milestone,,,
19890620 0210,1989,06,19,2010,Corinne #2,SK,1,50.0540,-104.6200,50.1126,-104.3269,2210,240,400,,,,Fort Qu'Appelle - Indian Head - Lumsden - Pilot Butte,,,
19890620 0300,1989,06,19,2100,Katepwa Beach,SK,0,50.7000,-103.6300,,,,,,,,,Fort Qu'Appelle - Indian Head - Lumsden - Pilot Butte,,,
19890625 2215,1989,06,25,1615,Kendal,SK,0,50.2500,-103.6200,,,,,,,,,Fort Qu'Appelle - Indian Head - Lumsden - Pilot Butte,,,
19890626 0120,1989,06,25,2120,Miami,MB,0,49.3700,-98.2400,,,,,,,,,Morden - Winkler - Altona - Emerson - Morris,,,
19890627 2230,1989,06,27,1630,Edmonton,AB,1,53.6020,-113.4975,,,,,,,,,City of Edmonton - St. Albert - Sherwood Park,,,
19890629 0600,1989,06,29,0000,Castor,AB,0,52.2200,-111.8800,,,,,,,,,Hanna - Coronation - Oyen,,,
19890630 0020,1989,06,29,1820,Robinhood ,SK,0,53.2800,-108.2000,,,,,,,,,The Battlefords - Unity - Maidstone - St. Walburg,,,
19890630 0300,1989,06,29,2100,Saskatoon,SK,0,52.1200,-106.6300,,,,,,,,,City of Saskatoon,,,
19890630 2000,1989,06,30,1400,Kinuso,AB,1,55.3315,-115.4185,,,,,,,,,Slave Lake,,,
19890701 0050,1989,06,30,1850,Paynton,SK,2,53.0200,-108.8300,,,,,,,,,The Battlefords - Unity - Maidstone - St. Walburg,,,
19890705 0310,1989,07,04,2310,Big Trout Lake,ON,0,53.9000,-89.8900,,,,,,0,0,,Big Trout Lake - Sachigo Lake,,,
19890705 2200,1989,07,05,1600,Carstairs,AB,1,51.5600,-114.0975,,,,,,,,,Airdrie - Cochrane - Olds - Sundre,,,
19890708 2130,1989,07,08,1530,Crystal Springs,SK,1,52.8900,-105.3700,,,,,,,,,Melfort - Tisdale - Nipawin - Carrot River,,,
19890708 2140,1989,07,08,1540,Osage,SK,0,49.9500,-103.5800,,,,,,,,,Estevan - Weyburn - Radville - Milestone,,,
19890708 2200,1989,07,08,1600,Carnduff,SK,0,49.1500,-101.8170,,,,,,,,,Carlyle - Oxbow - Carnduff - Bienfait - Stoughton,,,
19890708 2300,1989,07,08,1700,Montmartre,SK,2,50.2000,-103.4300,,,,,800,,,,Fort Qu'Appelle - Indian Head - Lumsden - Pilot Butte,,,
19890708 2310,1989,07,08,1710,Odessa to Peebles,SK,2,50.2525,-103.7839,50.1700,-102.9500,60000,280,,0,1,,Fort Qu'Appelle - Indian Head - Lumsden - Pilot Butte,,,
19890708 2330,1989,07,08,1730,Moosomin,SK,1,50.1300,-101.6700,,,,,,,,,Moosomin - Grenfell - Kipling - Wawota,,,
19890711 2200,1989,07,11,1600,Estevan,SK,0,49.1300,-102.9800,,,,,,,,,Estevan - Weyburn - Radville - Milestone,,,
19890712 0005,1989,07,11,1805,Canora,SK,1,51.6190,-102.4140,,,,,,,,,Kamsack - Canora - Preeceville,,,
